title,description,image,type,rating,year
Niedola,"The music video to matryoshka's Niedola, directed by Mitsuyuki Ishibashi.",https://cdn.myanimelist.net/images/anime/10/76253l.jpg,Anime,5.37,2012
Starly Girls: Episode Starsia,"Special 3-D animated short based on Kirby: Right Back at Ya!. It was released on the Wii channel in Japan. It features the never-before-seen monster named Lobzilla. Fire Kirby makes a special appearance, as does a new Kirby ability exclusive to the short called Kabuki. Seeing that Nightmare Enterprises is active and Dedede's transporter is operative, this episode may have taken place before episodes 96-100.  (Source: Kirby Wikia)",https://cdn.myanimelist.net/images/anime/1477/141990l.jpg,Anime,5.95,2018 to ?
Chikyuu wo Mitsumete,A movie by National Museum of Emerging Science and Innovation (Miraikan) screened at planetariums.,https://cdn.myanimelist.net/images/anime/12/73734l.jpg,Anime,5.95,2011
Square Sisters,"Takumi lives next to Mizuki and Satsuki's house. They have been good friends since they were kids, going shopping and skiing together. One day, Kazuyoshi, Takumi's father, brings two girls, Saori and Yui, back to their house, and accepts them as new family members. At first, he is confused, but gradually becomes closer to them...",https://cdn.myanimelist.net/images/anime/1258/103808l.jpg,Anime,6.88,"Aug 25, 2008 to Dec 25, 2008"
Takarajima Memorial: Yuunagi to Yobareta Otoko,"A short story during Jim's adventure at sea. He encounters a man at a bar who told a tail about a one-legged man. Thinking it's Silver who the man is referring too, Jim later asked him for details. The man told Jim that, near the coast Maratoran, Silver left the ship they were on  went to the island on a small boat. Jim, who couldn't go at the time, left for Maratoran six years later. He met Silver's wife and son there.",https://cdn.myanimelist.net/images/anime/1028/136446l.jpg,Anime,6.49,1992
Taka no Tsume: Tokyo Comic Con 2017 no Ouen-dan ni Shuunin Kettei!,A webisode where the Eagle Talon cast breaks the 4th wall to say that they are the official appointed cheer squad of the 2017 Tokyo Comic Con. They go on to explain what the Comic Con is about and plug their newest film DC Super Heroes vs. Taka no Tsume-dan.,https://cdn.myanimelist.net/images/anime/9/87301l.jpg,Anime,4.91,"Jul 29, 2017"
Doraemon Movie 32: Nobita to Kiseki no Shima - Animal Adventure,"Nobita and his dad buy a big rhinoceros beetle, which he promises to his dad to take good care of it. Later, Doraemon's group finds a strange island where a tribe co-exists with prehistoric creatures long believed to extinct yet preserved by a mythical beetle spirit named Golden Hercules. However, the group has to deal with a group of criminals from the future who intend to capture Golden Hercules for a profit.  (Source: Wikipedia)",https://cdn.myanimelist.net/images/anime/7/72437l.jpg,Anime,7.32,"Mar 3, 2012"
Giant Robo Gaiden Ginrei,"In episode one, Ginrei's dress is stolen, only to be used to fool the enemy. The second episode deals with a giant robot made exactly in her image. Finally, the third episode concerns Tetsugyu and Ginrei investigating a lost research team in a ""wild west"" desert setting.  (Source: ANN)",https://cdn.myanimelist.net/images/anime/1652/98494l.jpg,Anime,5.98,"Feb 20, 1994 to Feb 21, 1995"
Vexille,"In an alternate 21st century, the robotics industry undergoes a period of rapid advancement worldwide. By the year 2050, Japan has firmly established itself as the leader in robotic technology and manufacture with Daiwa Heavy Industries. As the technology evolves to include robotic enhancements to the human body, the blurring of the line between man and machine triggers a sudden shift in world opinion. In response, the U.N. passes a unilateral ban of further research and development on robotics in 2067. Japan fiercely objects to this ban, but is unable to prevent its passage. In protest, Japan withdrew from international politics and chose to pursue a policy of high-tech national isolation. While only trade continues, Japan disappears from the world scene.  Ten years later, a series of bizarre incidents lead the American technology police agency SWORD to believe that Japan has concealed extensive development of banned technologies through the use of the RACE network. SWORD dispatches a unit of special agents to infiltrate Japan and gather intelligence on the country. Vexille, a veteran agent among the group, uncovers the horrifying truth behind the ten years of isolation.",https://cdn.myanimelist.net/images/anime/9/79923l.jpg,Anime,6.88,"Aug 18, 2007"
Nagagutsu wo Haita Neko,"Pero, a sword-wielding cat-in-boots sentenced to death for sparing a mouse, escapes his execution and embarks on a journey. Along the way, he teams up with a company of bandit mice and Pierre, a gentle orphan who has been cheated out of his inheritance.  When Pero learns that Princess Rose is seeking a husband, he becomes determined to make sure that Pierre is the one chosen. However, Princess Rose is forcibly betrothed to the wicked ogre Lucifer! Pero begins to spin a web of lies to enthrall Rose with Pierre, but Pero's boasts are far from the truth. Pierre has to keep up with Pero's bold image of him but is frightened, because while Princess Rose is charming, loving her means going against the Devil's wishes.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/7/5415l.jpg,Anime,6.93,"Mar 18, 1969"
Folktales from Japan,"Like in any culture, Japanese kids grow up listening to the stories repeatedly told by their parents and grandparents. The boy born from a peach; the princess from the moon who is discovered inside a bamboo; the old man who can make a dead cherry tree blossom, etc. These short stories that teach kids to see both the dark and bright sides of life have passed traditional moral values from generation to generation.  Each half-hour episode of Folktales from Japan consists of three self-contained stories, well-known and unknown, with a special focus on heartwarming stories that originate from Tohoku, the northern region heavily touched by the earthquake of 2011. May this program help cheer up earthquake victims and cast a light of hope for them?  (Source: Crunchyroll)",https://cdn.myanimelist.net/images/anime/11/82364l.jpg,Anime,6.93,"Apr 1, 2012 to Mar 26, 2017"
Xevious,Based on Namco's classic 1980s videogame of the same name.,https://myanimelist.cdn-dena.com/images/anime/9/35941.jpg,Anime,5.46,"Aug 3, 2002"
Larva 3rd Season,Third season of Larva.,https://cdn.myanimelist.net/images/anime/1736/133011l.jpg,Anime,6.44,"Aug 4, 2014 to Nov 26, 2014"
Colorful The Motion Picture,"Based on the novel by Eto Mori, published in July 1998. Colorful won the award for Excellent Animation of the Year at the 34th Japan Academy Prize and was nominated for Animation of the Year. It was also awarded the Animation Film Award at the 65th Mainichi Film Awards.",https://myanimelist.cdn-dena.com/images/anime/4/29497.jpg,Anime,7.99,"Aug 21, 2010"
Mobile Suit Gundam SEED: SEED Supernova - Tanekyara Gekijou,The first two shorts feature the original SEED cast and deal with an attempt by Yzak Joule to reclaim his his honor from Athrun Zala after having been one-upped at seemingly every contest with him since his childhood. The last two shorts feature the Minerva crew sent back in time on comical missions from Gil in an attempt to disrupt key events of the Seed era with disastrous yet hilarious effect.  (Source: ANN),https://cdn.myanimelist.net/images/anime/3/52119l.jpg,Anime,7.34,"Jun 22, 2007"
Dream Hunter Rem,"Dream Hunter Rem was originally supposed to be a hentai OVA, but the first episode proved so popular that the following two episodes were released for the general market, with episode one being redone as a non-hentai ""Special Version,"" with the sex scenes removed. The original, hentai episode one was never released on LaserDisc or DVD.",https://myanimelist.cdn-dena.com/images/anime/9/7407.jpg,Anime,6.16,"Dec 15, 1985 to Feb 25, 1987"
Shashinkan,"The story takes place before WWII at a photo studio on top of a hill. Many people visit this studio to have their photos taken. One day, a couple comes, but the wife is so shy that she always lowers her head. The owner of the studio tries all kinds of tricks to get her to smile and eventually succeeds.  One year later, the couple comes again, but this time they bring their daughter along. She always looks grumpy, and again, the owner has to try everything to get her to smile. Thus starts a long-running relationship between the girl and the owner, and time passes to years and then decades...  (Source: MAL)",https://cdn.myanimelist.net/images/anime/1413/112309l.jpg,Anime,7.3,"Nov 9, 2013"
Rei Rei,"In a future-based disaster-ridden city with an enormous gap between the rich and the poor, it is hard to tell which humans are walking around with cybernetic body parts. This makes Roy Revant's job as a renegade bounty hunter/bodyguard-for-hire even more difficult. When a young girl with unbeliveable strength rescues him from a particularly dangerous criminal, Roy realizes that perhaps help can be found in the strangest of places. Joining together with a few others, they engage in a battle to find out the truth behind the giant conglomerates that are supposedly serving mankind and making life better.  Solty, an android who has lost her memory, has escaped and is being hunted by the RUC Security Bureau. She encounters the bounty hunter Roy and he adopts her as his daughter after being hired as a bodygaurd for Miranda.  (Source: ANN)",https://cdn.myanimelist.net/images/anime/3/75582l.jpg,Anime,7.24,"Jul 8, 1994 to Sep 9, 1994"
Sailor Moon SuperS,"SuperS centers heavily on Chibi-usa and the Sailor Team. A new enemy, the Dead Moon Circus, has now appeared. Their motive is to find the Golden Dream Mirror that would be used to rule the world. To do this, the enemy attacks innocent victims for their Dream Mirrors and test their energy. Chibi-usa also has a new ally on her side, Pegasus. This season also sees the Sailor Senshi obtaining new powers.",https://cdn.myanimelist.net/images/anime/1600/92253l.jpg,Anime,7.63,"Mar 4, 1995 to Mar 2, 1996"
Long Riders! Recap,Recap of the first four episodes of the Long Riders series.,https://cdn.myanimelist.net/images/anime/11/82795l.jpg,Anime,5.92,"Nov 12, 2016"
Yell,Music video for the song by Ikimonogakari that was featured on NHK's Minna no Uta program.,https://cdn.myanimelist.net/images/anime/1424/101661l.jpg,Anime,5.84,"Aug, 2009"
Monster List,"A foxy temptress. A strange misty tree demon. A girl with the power of the goddess Xianjia! Being caught between these women is a feat in it of itself, but our hero Feng Xi must fight in order to protect the peace and save the world!  (Source: EIH Scans)",https://cdn.myanimelist.net/images/anime/1982/131501l.jpg,Anime,6.8,"Dec 13, 2014 to Sep 11, 2015"
Hello Kitty to Miyou: Nihon Mukashibanashi,Hello Kitty themed Japanese fables.,https://cdn.myanimelist.net/images/anime/7/84571l.jpg,Anime,5.64,"Dec 21, 1993 to ?"
Kuma Miko Specials,Special episodes included in the Blu-ray and DVD boxes of Kuma Miko.,https://cdn.myanimelist.net/images/anime/12/79557l.jpg,Anime,6.54,"Jun 24, 2016 to Aug 24, 2016"
Akame ga Kill!,"Akame ga Kill! is the anime adaption of Takahiro&#039;s shounen manga of the same name, which is illustrated by Tetsuya Tashiro and has been serialized in Square Enix&#039;s Gangan Joker since April 2010. The anime is also produced by Square Enix and is licensed by Sentai Filmworks for release in North America. The anime follows the source material through the first eight volumes of the manga, utilizing some events from the later issues as well, before concluding with an exclusive story arc that diverges from the manga.",https://myanimelist.cdn-dena.com/images/anime/6/78438.jpg,Anime,7.8,"Jul 7, 2014 to Dec 15, 2014"
Akikan!,Episode 1 was previewed at Bandai Channel on 12/22/2008. Regular broadcasting began on 01/04/2009.,https://myanimelist.cdn-dena.com/images/anime/5/47093.jpg,Anime,6.33,"Jan 4, 2009 to Mar 29, 2009"
Space Patrol Hopper,"After an alien attack, a boy named Jun is rescued by aliens who give him super powers and recruit him into the Space Patrol. The series was renamed Patrol Hopper Uchukko Jun for the final 18 episodes.   (Source: AniDB)",https://cdn.myanimelist.net/images/anime/1113/102522l.jpg,Anime,5.82,"Feb 1, 1965 to Nov 29, 1965"
Knight’s & Magic,,https://myanimelist.cdn-dena.com/images/anime/5/85914.jpg,Anime,7.31,"Jul 2, 2017 to Sep 24, 2017"
Calm,Short animation by Ryu Kato.,https://cdn.myanimelist.net/images/anime/12/71616l.jpg,Anime,5.73,2007
Uwabaki Cook,"Cook is one of Uwabaki (school shoes) for left foot and has a brother who happened to drop himself into a trash can. Cook then was thrown as well. In order to find his missing brother, he starts his adventure.  Although Cook seems timid, his strong sense of justice makes him always want to help someone in trouble.  Cook is sometimes lacks of confidence of himself when travelling alone. However, making friends with ""things"" such as books, glasses and chairs that he met in his journey makes him become stronger.  (Source: YTV)",https://cdn.myanimelist.net/images/anime/5/76059l.jpg,Anime,4.7,"Jan 5, 2015 to Mar 30, 2015"
Big Wars,"It is the dawn of the 21st century. Mankind has terraformed and colonized Mars. But we are not alone in the universe. An ancient race of alien beings, known only as ""The Gods,"" has been watching mankind's progress ...and waiting. Now, these mysterious aliens have returned to halt mankind's expansion into space ...by force.  Now, the planet named after the God of War will become our final battlefield, as mankind fights a desperate battle with the latest in high-tech, military hardware: hyper-advanced aircraft, orbital fighters, and gigantic, desert battleships brimming with the most advanced weaponry.  But will it be enough? The aliens have awesome, incredibly destructive weapons at their disposal—including ""Hell""—an unstoppable stealth carrier. But the alien's primary weapon is insidiously quiet and invisible—a mind control plaque. Incurable. Inevitable. Contagious. Humans are powerless to resist its effects, which transforms even the most loyal soldiers into dangerous subversives.  Our last hope lies with Captain Akuh and the crew of the Battleship Aoba. If his top-secret mission is successful, mankind will deal a decisive blow to the alien armada. But Akuh's girlfriend is showing signs of nymphomania—the first symptom of alien subversion!  (Source: AnimeNfo)",https://cdn.myanimelist.net/images/anime/3/72814l.jpg,Anime,5.42,"Sep 25, 1993"
Judo Boy,"Young Sanshiro Kurenai is the proud heir of a judo dojo. One day, he finds his beloved father dead and a glass eye not too far from the corpse. Ready to avenge his father and take his honour back, Sanshiro and his friend Ken start searching for the mysterious one-eyed murderer...  (Source: ANN)",https://cdn.myanimelist.net/images/anime/1445/134584l.jpg,Anime,6.45,"Apr 2, 1969 to Sep 24, 1969"
Kitty-Cat Fantasia,"""Shiro"" is a black cat who loves her family very much. She loves them so much she wants to help them out in times of need and trouble…but it’s difficult to do this if she's just a cat. So one night, she wishes on the moon to make her able to help, and the next day, she has turned into a human girl.  (Source: AniDB)",https://cdn.myanimelist.net/images/anime/7/22666l.jpg,Anime,5.86,"Dec 13, 1991"
Strange Tales of Modern Mysterious Events,"The horrid stories that remain in many conversations, the chilling urban legends come to life thanks to the Ga-nime.   The terrible anecdote of an old fridge thrown by a dried up river bed in “Refrigerator”.  The grotesque encounter with an out of place sculpture standing on top of a building in “The Dharma Statue”.  The ghost encounter experience by a boy on a long bridge at night in “The Night Bridge”  A purchase at the flea market that brings a man to an ironic end in “US Army Surplus”  The enigma of continuous deadly accidents near a railroad in “The Railroad Crossing”  The mysterious experience of a boy on summer vacation in a peaceful countryside in “I Want Friends”.   6 pieces of horror put on 1 film. The Japanese urban legends, put on screen in the characteristic drawing of KIMURA Toshiyuki, whose fame reaches outside the borders of Japan, call for a scream, with the talented collaboration for the ending theme of an artist produced by SUDOH Akira, Leilani.   (Source: Toei-anim.co.jp)",https://cdn.myanimelist.net/images/anime/11/14000l.jpg,Anime,6.16,"Aug 1, 2006"
RESTART POiNTER,"Official music video for IDOLiSH7's song ""RESTART POiNTER.""",https://cdn.myanimelist.net/images/anime/1656/91722l.jpg,Anime,6.97,"Jun 10, 2016"
The Sunk Sank,"A music video for LITE's song ""The Sun Sank.""",https://cdn.myanimelist.net/images/anime/11/87186l.jpg,Anime,5.32,"Sep 17, 2009"
Fairy Musketeers,,https://myanimelist.cdn-dena.com/images/anime/7/50145.jpg,Anime,7.06,"Jul 1, 2006 to Mar 31, 2007"
Wake up!! Tamala,"In 2050, the world's climate has changed for the worse. One rainy day, Tamala saves a honeybee named Kuronosuke from drowning in a gutter. As the last bee of the cat world, he invites Tamala on a magical journey back in time—back to our near future.   With Tamala's era quickly approaching, civilization has begun to waste and destroy the nature that lie around them. Roving around a land where all other animals are extinct, she finally begins to starve.. Until Kuronosuke offers himself as food.   (Source: Official site, edited)",https://cdn.myanimelist.net/images/anime/7/76309l.jpg,Anime,5.51,"Oct 11, 2010"
Tsuma ga Onsen de Circle Nakama no Nikubenki ni Natta no Desu ga... Anime Edition,How much do you know someone? A chance encounter with old college friends lets old secrets slip as a newlywed wife starts to reveal her past history to her husband. He is shocked by just how liberated his wife turned out to be. Can he keep an open mind? Just how far will her lifestyle take him?  (Source: PUSH! Publication),https://cdn.myanimelist.net/images/anime/1883/119783l.jpg,Anime,6.02,"Jun 2, 2017"
Kamichama Karin,"Thirteen-year-old Karin Hanazono feels like her life can't get any worse, Her parents died when she was younger, leaving her with an aunt who doesn't hesitate to call her stupid and useless over her poor grades. Her only friend, her cat named Shii-chan, passed away recently, leaving her completely alone. All she has left of her parents is a ring given to her by her mother, which she treasures dearly as the sole thing left of her past.  Kamichama Karin begins the moment her life takes a turn for the better, when she is approached by Himeka Kuujou, a cute girl who has also lost her parents, and Kazune Kuujou, her cousin who finds girls to be troublesome, both of whom are searching for a goddess. Her mother's memento ring shines brightly in their presence and fills her with its radiance, making her smarter, faster, and capable of granting wishes. It turns out that her ring allows her to become the very goddess they were looking for, and now that she has awakened that power, others will come after her for it…",https://cdn.myanimelist.net/images/anime/12/76297l.jpg,Anime,7.18,"Apr 6, 2007 to Sep 28, 2007"
Miboujin Nikki: Akogare no Ano Hito to Hitotsu Yane no Shita,Based on the erotic game by Orcsoft.,https://cdn.myanimelist.net/images/anime/1732/115889l.jpg,Anime,6.97,"Jan 25, 2013"
Momiji,Music video for the song Momiji by Nagisa that was featured on NHK's Minna no Uta program.,https://cdn.myanimelist.net/images/anime/1346/144339l.jpg,Anime,6.32,"Apr 25, 2002 to Aug 25, 2003"
A Komaneko Christmas: The Lost Present,"Komaneko is a female kitten who lives with her grandfather in their mountain home, where Komaneko loves to make handicraft. Komaneko is looking forward to Christmas when she can see her papa and mama, and an early present arrives at her home. The present is a cute doll, but included with the doll is a letter, ""We can't be home for Christmas."" Despondent but determined, Komaneko and her friend, Rajiboo set off on an adventure together.  (Source: ANN)",https://cdn.myanimelist.net/images/anime/1793/112308l.jpg,Anime,6.14,"Nov 7, 2009"
Green Green Specials,A summary of the Konnichiwa Anne: Before Green Gables TV series released as an OVA in July 2011 that was later aired as a TV Special in August 2011.,https://cdn.myanimelist.net/images/anime/1432/131322l.jpg,Anime,6.35,"Nov 19, 2003 to Jan 21, 2004"
La Blue Girl Returns,"A race of butterfly-demons named the Mahoroba want to enslave Miko Mido and her sister to steal them the seal case that control the Shikima. Their ultimate goal is to conquer the Shikima Brain, a legendary place of the Shikima realm which is said to confer the power to rule the universe.   (Source: ANN)",https://cdn.myanimelist.net/images/anime/11/85955l.jpg,Anime,6.12,"May 25, 2001 to May 25, 2002"
Moldiver,"Hiroshi Ozora invents the Mol Unit, a device that makes its user invincible. His plans of becoming a super hero are short lived however when his sister, Mirai, accidently modifies the suit configuration. Now she is forced to save Tokyo by herself from the evil Machinegal and his gang of all-female androids.   (Source: ANN)",https://cdn.myanimelist.net/images/anime/4/37735l.jpg,Anime,6.06,"Feb 25, 1993 to Nov 25, 1993"
Hell Girl: Two Mirrors,"Ai Enma and her companions continue to offer their service of revenge against those who have wronged others, and the price is as steep as ever—for damning the offender to hell, the person exacting vengeance is sent to the abyss as well. As they cast soul after soul into the darkness, a new sinister force is watching them: a little girl named Kikuri.  While Ai continues her duties, she meets a boy named Takuma Kurebayashi, known as the ""Devil's Child"" because of the horrific events that occur around him. Unfortunately, Takuma's reputation leads the townspeople to use him as a scapegoat for those who have been ferried off to hell. When things quickly spiral out of control, Ai must find a way to bring an end to this senseless violence, as it poses a threat to her very existence.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/5/86975l.jpg,Anime,7.87,"Oct 7, 2006 to Apr 7, 2007"
Sunny Ryoko,"Kishimoto Kasumi, a 15-year-old girl, was supposed to live at her auntie's house in order to go to high school since April. However, when she moved to the house she was surprised with the fact that there were already four new male students living in the same house. To make the matter worse, that day while she was taking a bath, Takasugi Yusaku, one of those boys, came into the bath and saw her naked. This is how Kasumi's troublesome high school days started.   (Source: AniDB)",https://cdn.myanimelist.net/images/anime/1207/134823l.jpg,Anime,7.02,"Mar 29, 1987 to Mar 20, 1988"
Ikkitousen: Dragon Destiny Specials,Ikkitousen Dragon Destiny Specials.,https://cdn.myanimelist.net/images/anime/1636/138210l.jpg,Anime,6.58,"Jun 24, 2007 to Nov 24, 2007"
Pokemon: Camp Pikachu,Pikachu and some of the other pokemon camp out in the woods and help the Pichu brothers get on the train.,https://cdn.myanimelist.net/images/anime/1258/97387l.jpg,Anime,6.51,"Jul 13, 2002"
Hoshi ni Negai wo: Cold Body + Warm Heart,"Hikari is a girl whose mother Mari has fused with a spaceship. Traveling in the spaceship, Armadillo, Hikari experiences things and encounters people, including a strange boy called Romeo who emerged from the extracted noise she came across on the Web, and her long-lost father Raven.  (Source: AniDB)",https://cdn.myanimelist.net/images/anime/2/67065l.jpg,Anime,6.09,"Jun 1, 2009"
Nasu: Summer in Andalusia,"Every year, cyclists take to the streets of Spain for La Vuelta, a multi-stage race with legs occurring all over the country. On the day of his brother's wedding, Pepe Benengeli is set to compete in a part of the competition that passes through his hometown in the scorchingly hot region of Andalusia. With intense pressure from the other competitors and the blazing heat of the sun, Pepe must dig deep if he is going to snag victory on his home turf.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1006/133560l.jpg,Anime,6.97,"Jul 26, 2003"
Arcade Gamer Fubuki Extra,It's time for fun at the beach! Check out all the girls from Arcade Gamer Fubuki in their swimsuits.,https://cdn.myanimelist.net/images/anime/1896/141923l.jpg,Anime,4.69,"Jun 11, 2008"
B-Daman Crossfire,"A rumor has spread amongst the children worldwide regarding the popular B-Daman matches: A select group will be allowed to participate in an upcoming secret competition, known as ""Cross Fight""!    (Source: translated and adapted from official site by Cranston)",https://cdn.myanimelist.net/images/anime/1686/119340l.jpg,Anime,6.58,"Oct 2, 2011 to Sep 30, 2012"
Megalo Box Specials,Shorts included with the Blu-ray releases.,https://cdn.myanimelist.net/images/anime/1726/92315l.jpg,Anime,6.16,"Jul 27, 2018 to Nov 22, 2018"
Uchuu Shounen Soran,"A classic sci-fi TV anime. The adventures of super-boy. In the 21st century, a human boy is raised on the Planet Soran, home of one of the most advanced civilization in the Galactic Federaion. The planet has the gravity 15 times stronger than Earth. People of Soran changed the boy into a cyborg so that he can live on the planet. Years later the boy returns to Earth. He calls himself Soran. On Earth, his phsical ability is 15 times superior to normal humans. He uses the power for justice.   (Source: AniDB)",https://cdn.myanimelist.net/images/anime/9/36189l.jpg,Anime,5.86,"May 4, 1965 to Mar 28, 1967"
Yasoukyoku,"A music video for Tamaki's song ""Yasoukyoku.""",https://cdn.myanimelist.net/images/anime/9/81602l.jpg,Anime,5.64,"Jan 4, 2011"
Rockman.EXE Stream,"A comet burns in the sky, its brilliant light shining down upon the people of Earth. At that time, a giant army of viruses invade the real world, crushing everything in their path. Netto and Enzan use cross fusion to intervene, but are whisked away to an unknown location, only to be confronted by the one responsible for the attack - Duo!   (Source: Official Site)",https://cdn.myanimelist.net/images/anime/5/41575l.jpg,Anime,7.05,"Oct 2, 2004 to Sep 24, 2005"
Ooi! Hanimaru,Music video about Hanimaru and his horse.,https://cdn.myanimelist.net/images/anime/8/71747l.jpg,Anime,4.83,Not available
Ori-Princess 2nd Season,"A Chinese prince meets a regular civilian during his travels and quickly falls in love. They marry and have a daughter, but the prince is soon separated from them during a rebellion. Many years later, the prince has become emperor and locates his lost daughter. She comes to live with him, but unfortunately has picked up several unrefined habits during her times as a civilian.",https://cdn.myanimelist.net/images/anime/7/81269l.jpg,Anime,6.27,"Sep 27, 2012 to Nov 12, 2012"
Project: City Flying in the Sky,"Third animated music video for music by capsule based around their NEXUS-2060 concept—a space station resort in the year 2060. Produced by Ghibli offshoot Studio Kajino, with MOMOSE Yoshiyuki (百瀬ヨシユキ) directing. The song was released on September 7, 2005 as Side A of a single titled Aeropolis, and the animation was first shown on September 10, 2005 as a double bill with the live-action Touch movie.",https://cdn.myanimelist.net/images/anime/5/6815l.jpg,Anime,5.99,"Sep 10, 2005"
When Supernatural Battles Became Commonplace,"During a Literature Club meeting, the four club members—along with their faculty adviser's niece—suddenly find themselves with supernatural powers. Now capable of fabricating black flames, resident chuunibyou Jurai Andou is the most ecstatic about their new abilities; unfortunately, his own is only for show and unable to accomplish anything of substance. Moreover, he is completely outclassed by those around him: fellow club member Tomoyo Kanzaki manipulates time, Jurai's childhood friend Hatoko Kushikawa wields control over the five elements, club president Sayumi Takanashi can repair both inanimate objects and living things, and their adviser's niece Chifuyu Himeki is able to create objects out of thin air.  However, while the mystery of why they received these powers looms overhead, very little has changed for the Literature Club. The everyday lives of these five superpowered students continue on, albeit now tinged with the supernatural.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/8/67047l.jpg,Anime,7.04,"Oct 7, 2014 to Dec 23, 2014"
Honoo no Alpenrose,Two-part OVA that summarises the entire Honoo no Alpenrose TV series featuring a new dubbing and reworked scenes.  (Source: AniDB),https://cdn.myanimelist.net/images/anime/3/30729l.jpg,Anime,6.15,"Feb 15, 1986 to Mar 31, 1986"
Shin Hitou Meguri,"Based on the erotic game Shin Hitou Meguri by Potage.  An undercover detective steps in, to infiltrate a shady inn, and destroy a sex trafficking ring.",https://cdn.myanimelist.net/images/anime/1037/119737l.jpg,Anime,6.24,"Aug 30, 2013 to Aug 26, 2016"
Sumiko,Shorts following a young girl's life.,https://cdn.myanimelist.net/images/anime/5/64165l.jpg,Anime,5.46,2008
Nanatsu no Taizai: Imashime no Fukkatsu,"An episode recapping Nanatsu no Taizai with additional scenes, aired before the new season in January 2018.",https://cdn.myanimelist.net/images/anime/8/89656l.jpg,Anime,7.22,"Jan 13, 2018 to ?"
Speed,Winner of the 1980 Oofuji Noburou Award.,https://myanimelist.cdn-dena.com/images/anime/11/6757.jpg,Anime,5.22,"Jan 1, 1980"
Ah! My Buddha Special,"Ikko and the girls of Saienji Buddhist Temple are participating in a game show competition and happen to win a trip to a secluded inn. At the inn, Ikko is presented with the challenge of not awakening while all of the girls are sleepwalking.",https://cdn.myanimelist.net/images/anime/12/32069l.jpg,Anime,6.59,"Dec 21, 2005"
Marin to Yamato: Fushigi na Nichiyoubi,This OVA is a part of the series of educational videos that teaches kids and young adults several basic tax lessons.,https://myanimelist.cdn-dena.com/images/anime/8/89621.jpg,Anime,5.62,"Dec 2, 2000"
Galaxy Angel Specials,"Originally exclusive to the DVD release of the original Galaxy Angel, it contains two additional stories: ""Fallen Angel Dark Space Chazuke"" and ""Five Sukiyaki Lunch Boxes"". They count as Episodes 25 &amp; 26 of the original anime's run.",https://cdn.myanimelist.net/images/anime/7/37189l.jpg,Anime,6.8,"Jan 25, 2002"
A Whistle,Based on a poem by Sakutaro Hagiwara. A child and an adult have different troubles.  (Source: Official website),https://cdn.myanimelist.net/images/anime/6/71811l.jpg,Anime,3.98,2002
Oraa Guzura Dado,A comedy about a kind but slow-witted dragon who appears from a nearby volcanic eruption. People find Guzura quite charming and interesting as he can consume metal and change it into useful devices.  (Source: AniDB),https://cdn.myanimelist.net/images/anime/12/56771l.jpg,Anime,6.2,"Oct 7, 1967 to Sep 25, 1968"
Nippen no Miko-chan,The official Twitter for Ballpoint pen writing image character Nippen no Miko-chan has announced that it will get anime CM series to broadcast within news discussion show 5-ji ni Muchuu on Tokyo MX.  (Source: MAL News),https://cdn.myanimelist.net/images/anime/10/89294l.jpg,Anime,5.53,"Jan 8, 2018 to Feb 19, 2018"
Choubakuretsu Ijigen Menko Battle: Gigant Shooter Tsukasa,"The anime follows Tsukasa, whose dream is to become the best at Gigant Shooter (battles in a game similar to pog) in the world. The menko card his father left for him called King Menger is his partner. Tsukasa's fellow gamers are the cute but tsundere Koide Miruko, the spectacled bully Numata Manabu, and the realist and sharp-tongued Doumoto Ataru.  (Source: ANN)",https://cdn.myanimelist.net/images/anime/11/60675l.jpg,Anime,5.28,"Apr 1, 2014 to Feb 10, 2015"
Knights of the Zodiac: Saint Seiya,"Zeus had a daughter named Athena, the goddess of war. A group of youths flocked to Athena fighting to protect her amidst heroic battles as her ""Saints"". Their proof of being a Saint laid with the battle protector known as Sacred Cloth.  After a virtual eternity, a new struggle is about to unfold now again over the Cloth. A boy named Seiya has crossed way over to Greece to undergo the training to become a Saint and obtained the Cloth, Bronze cloth, the lowest position among Saints. Every Saint takes a constellation as their tutelary god. And Seiya's guardian star is Pegasus. Now, the saints gather together from all over the world to participate in the ""Galatic War"" - championship of Saints, aiming at the Gold Cloth, the symbol of ruler of the Saints. The curtain for Galatic War has been cut open. During the death battle between the Saints, Phoenix, the Black Saint, suddenly appeared on the scene and runs off with Gold Cloth in front of a full house in his ambition to become ruler of the world. Seiya and his fellow bronze cloth warriors go after Phoenix and his ""Shadow Army"" to retrieve the lost Gold Cloth...  The battles waged among the saints, the strongest young men on earth, begin now!  (Source: Toei Animation)",https://cdn.myanimelist.net/images/anime/1091/101664l.jpg,Anime,5.21,Not available
Game Center Arashi,"Arashi Ishino is Japan's ""Space invaders"" champion. He must use his skills to beat others at different video games.",https://cdn.myanimelist.net/images/anime/5/34473l.jpg,Anime,5.97,"May 4, 1982 to Sep 27, 1982"
